absolute_path,relative_path
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000001.jpg,000001.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000002.jpg,000002.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000003.jpg,000003.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000004.jpg,000004.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000005.jpg,000005.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000006.jpg,000006.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000007.jpg,000007.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000008.jpg,000008.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000009.jpg,000009.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000010.jpg,000010.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000011.jpg,000011.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000012.jpg,000012.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000013.jpg,000013.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000014.jpg,000014.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000015.jpg,000015.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000017.jpg,000017.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000018.jpg,000018.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000019.jpg,000019.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000023.jpg,000023.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000024.jpg,000024.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000025.jpg,000025.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000026.jpg,000026.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000027.jpg,000027.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000028.jpg,000028.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000029.jpg,000029.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000030.jpg,000030.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000032.jpg,000032.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000037.jpg,000037.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000038.jpg,000038.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000039.jpg,000039.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000040.jpg,000040.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000041.jpg,000041.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000042.jpg,000042.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000043.jpg,000043.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000044.jpg,000044.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000045.jpg,000045.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000046.jpg,000046.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000047.jpg,000047.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000048.jpg,000048.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000049.jpg,000049.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000050.jpg,000050.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000051.jpg,000051.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000052.jpg,000052.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000053.jpg,000053.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000054.jpg,000054.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000055.jpg,000055.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000056.jpg,000056.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000057.jpg,000057.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000058.jpg,000058.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000059.jpg,000059.jpg
C:\Users\Настя\Desktop\git\application-programming-labs-2025\bears\000060.jpg,000060.jpg
